ISSN,Título,Estrato
1538-7445,CANCER RESEARCH (ONLINE),A1
0305-7372,CANCER TREATMENT REVIEWS,A1
2072-6694,CANCERS (BASEL) (ONLINE),A2
2666-8939,CARBOHYDRATE POLYMER TECHNOLOGIES AND APPLICATIONS,A1
0144-8617,CARBOHYDRATE POLYMERS,A1
1475-2840,CARDIOVASCULAR DIABETOLOGY (ONLINE),A1
0920-3206,CARDIOVASCULAR DRUGS AND THERAPY,A2
1054-8807,CARDIOVASCULAR PATHOLOGY,A2
0008-6363,CARDIOVASCULAR RESEARCH,A1
0008-6568,CARIES RESEARCH,A1
1421-976X,CARIES RESEARCH (ONLINE),A1
2090-6455,CASE REPORTS IN DENTISTRY,B4
2090-6447,CASE REPORTS IN DENTISTRY (PRINT),B4
2073-4344,CATALYSTS,A2
2176-4867,CATAVENTOS,B2
0302-766X,CELL AND TISSUE RESEARCH (PRINT),A2
1085-9195,CELL BIOCHEMISTRY AND BIOPHYSICS,A4
1099-0844,CELL BIOCHEMISTRY AND FUNCTION (ONLINE),A4
1065-6995,CELL BIOLOGY INTERNATIONAL (PRINT),A4
0092-8674,CELL (CAMBRIDGE),A1
2041-4889,CELL DEATH & DISEASE,A1
2058-7716,CELL DEATH DISCOVERY (ON LINE),A2
2211-1247,CELL REPORTS,A1
2073-4409,CELLS,A2
0272-4340,CELLULAR AND MOLECULAR NEUROBIOLOGY,A3
2211-3428,CELLULAR ONCOLOGY,A1
0898-6568,CELLULAR SIGNALLING,A3
0969-0239,CELLULOSE (LONDON),A1
1678-4553,CERÂMICA,B1
0366-6913,CERÂMICA (SÃO PAULO. IMPRESSO),B1
2571-6131,CERAMICS,A3
0272-8842,CERAMICS INTERNATIONAL,A1
0120-971X,CES ODONTOLOGIA,C
2405-8300,CHEMICAL DATA COLLECTIONS,A3
2585-7290,CHEMICAL PAPERS (ONLINE),A3
0009-2797,CHEMICO-BIOLOGICAL INTERACTIONS (PRINT),A2
2624-8549,CHEMISTRY,B1
1612-1880,CHEMISTRY & BIODIVERSITY,A4
1612-1872,CHEMISTRY & BIODIVERSITY (PRINT),A4
2365-6549,CHEMISTRYSELECT,B1
0045-6535,CHEMOSPHERE (OXFORD),A1
0145-2134,CHILD ABUSE & NEGLECT,A1
0305-1862,CHILD CARE HEALTH AND DEVELOPMENT (PRINT),A3
1874-8988,CHILD INDICATORS RESEARCH (ONLINE),A2
2227-9067,CHILDREN,C
0190-7409,CHILDREN AND YOUTH SERVICES REVIEW,A1
0742-0528,CHRONOBIOLOGY INTERNATIONAL,A3
2594-6412,CIDADANIA EM AÇÃO: REVISTA DE EXTENSÃO E CULTURA,B1
1678-4561,CIÊNCIA & SAÚDE COLETIVA,A1
1984-7513,"CIÊNCIA, CUIDADO E SAÚDE (ONLINE)",B1
1413-8123,CIÊNCIA E SAÚDE COLETIVA (IMPRESSO),A1
1678-457X,CIENCIA E TECNOLOGIA DE ALIMENTOS,C
1678-4596,CIENCIA RURAL,A2
2666-7908,CLEANER ENGINEERING AND TECHNOLOGY,A1
1806-5015,CLÍNICA (SÃO JOSÉ),C
2163-0097,CLINICAL ADVANCES IN PERIODONTIC,A4
0897-3806,"CLINICAL ANATOMY (NEW YORK, N.Y. PRINT)",A2
1098-2353,CLINICAL ANATOMY (NEW YORK. ONLINE),A2
2357-9730,CLINICAL AND BIOMEDICAL RESEARCH,B3
2057-4347,CLINICAL AND EXPERIMENTAL DENTAL RESEARCH,A4
0307-6938,CLINICAL AND EXPERIMENTAL DERMATOLOGY (PRINT),A2
1064-1963,"CLINICAL AND EXPERIMENTAL HYPERTENSION (1993, PRINT)",A4
1591-9528,CLINICAL AND EXPERIMENTAL MEDICINE,A3
1440-1681,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,A2
1593-098X,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,A3
1488-2353,CLINICAL AND INVESTIGATIVE MEDICINE (ONLINE),A4
2770-579X,CLINICAL AND INVESTIGATIVE ORTHODONTICS,B2
2770-5781,CLINICAL AND INVESTIGATIVE ORTHODONTICS,B2
2357-8041,CLINICAL AND LABORATORIAL RESEARCH IN DENSTISTRY,B3
2281-5872,CLINICAL AND TRANSLATIONAL IMAGING.,A4
0009-9120,CLINICAL BIOCHEMISTRY,A4
1078-0432,CLINICAL CANCER RESEARCH (PRINT),A1
2050-0904,CLINICAL CASE REPORTS,B2
1179-1357,"CLINICAL, COSMETIC AND INVESTIGATIONAL DENTISTRY",A3
2511-1965,CLINICAL DENTISTRY REVIEWED,B3
0891-8929,CLINICAL DIABETES,A4
1173-2563,CLINICAL DRUG INVESTIGATION,A3
1523-0899,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,A1
1708-8208,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH (ONLINE),A1
2590-1702,CLINICAL INFECTION IN PRACTICE,B2
1058-4838,CLINICAL INFECTIOUS DISEASES,A1
1178-1998,CLINICAL INTERVENTIONS IN AGING (ONLINE),A3
1198-743X,CLINICAL MICROBIOLOGY AND INFECTION (PRINT),A1
0261-5614,CLINICAL NUTRITION,A1
1532-1983,CLINICAL NUTRITION,A1
2405-4577,CLINICAL NUTRITION ESPEN,A4
2667-2685,CLINICAL NUTRITION OPEN SCIENCE,B2
0936-6555,CLINICAL ONCOLOGY (SPRINGER. PRINT),A3
1600-0501,CLINICAL ORAL IMPLANTS RESEARCH,A1
0905-7161,CLINICAL ORAL IMPLANTS RESEARCH,A1
1432-6981,CLINICAL ORAL INVESTIGATIONS,A1
1436-3771,CLINICAL ORAL INVESTIGATIONS (INTERNET),A1
2675-7338,CLINICAL ORTHODONTICS (PRINT),C
2632-010X,CLINICAL PATHOLOGY,B1
2093-4327,CLINICAL PSYCHOPHARMACOLOGY AND NEUROSCIENCE,B1
0269-2155,CLINICAL REHABILITATION,A1
0770-3198,CLINICAL RHEUMATOLOGY (PRINTED),A2
1980-5322,CLINICS,A2
2039-7283,CLINICS AND PRACTICE,A3
2210-7401,CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,A4
2474-1647,CLINICS IN SURGERY,C
1807-5932,"CLINICS (USP, IMPRESSO)",A2
2079-6412,COATINGS,C
2317-1782,CODAS,A3
2176-9133,COGITARE ENFERMAGEM,A4
2578-0190,COHESIVE JOURNAL OF MICROBIOLOGY & INFECTIOUS DISEASE,B3
1981-4313,COLEÇÃO PESQUISA EM EDUCAÇÃO FÍSICA,B2
2504-5377,COLLOIDS AND INTERFACES,A4
0927-7757,"COLLOIDS AND SURFACES. A, PHYSICOCHEMICAL AND ENGINEERING ASPECTS (PRINT)",A2
0927-7765,"COLLOIDS AND SURFACES. B, BIOINTERFACES (PRINT)",A1
0361-2317,COLOR RESEARCH AND APPLICATION (PRINT),A4
2399-3642,COMMUNICATIONS BIOLOGY,A1
0265-539X,COMMUNITY DENTAL HEALTH,A4
0301-5661,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,A1
1600-0528,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY (ONLINE),A1
1096-4959,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. PART B: BIOCHEMISTRY & MOLECULAR BIOLOGY (PRINT),A2
1556-5068,COMPARATIVE LAW EJOURNAL,A1
1548-8578,COMPENDIUM OF CONTINUING EDUCATION IN DENTISTRY (JAMESBURG),B3
1744-3881,COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,A2
0965-2299,COMPLEMENTARY THERAPIES IN MEDICINE,A1
2666-4976,COMPREHENSIVE PSYCHONEUROENDOCRINOLOGY,A3
0169-2607,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT),A1
1025-5842,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,A4
2168-1171,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING. IMAGING & VISUALIZATION (ONLINE),A4
1476-8259,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING (ONLINE),A4
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,A1
1879-0534,COMPUTERS IN BIOLOGY AND MEDICINE,A1
1980-5101,COMUNICAÇÃO EM CIÊNCIAS DA SAÚDE,B2
1980-0584,COMUNICAÇÃO EM CIÊNCIAS DA SAÚDE (IMPRESSO),B2
1414-7327,CONCILIUM (BRASIL),A2
0010-5236,CONCILIUM ENGLISH EDITION,A2
2764-0345,CONECTADAS REVISTA INTERDISCIPLINAR DE EXTENSÃO E CULTURA DA UFABC,B4
1980-7058,CONEXÃO CIÊNCIA (ONLINE),A4
1657-5830,CONJECTURAS,C
2447-0961,CONTEMPORÂNEA - REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,C
0976-237X,CONTEMPORARY CLINICAL DENTISTRY,A4
8750-0507,"CONTEMPORARY PEDIATRICS (MONTVALE, N.J.)",B3
2179-1309,CONTEXTO & EDUCAÇÃO,A1
1984-7114,CONTRAPONTOS (ONLINE),A2
1988-7833,CONTRIBUCIONES A LAS CIENCIAS SOCIALES,C
1541-2563,COPD. JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,A4
2178-5945,CORPOCONSCIÊNCIA,B2
2079-9284,COSMETICS,A2
0103-4030,COSMETICS & TOILETRIES (ED. PORTUGUES),C
1478-7547,COST EFFECTIVENESS AND RESOURCE ALLOCATION (ONLINE),A4
0886-9634,CRANIO. JOURNAL OF CRANIOMANDIBULAR PRACTICE,A2
2151-0903,CRANIO® THE JOURNAL OF CRANIOMANDIBULAR & SLEEP PRACTICE,A2
2752-8464,CRANIOMAXILLOFACIAL RESEARCH & INNOVATION,C
1943-3875,CRANIOMAXILLOFACIAL TRAUMA & RECONSTRUCTION,B3
2472-7512,CRANIOMAXILLOFACIAL TRAUMA AND RECONSTRUCTION OPEN,C
2151-4755,CREATIVE EDUCATION,C
2965-2774,CRITICAL CARE SCIENCE,A4
1040-8398,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,A1
1040-8401,CRITICAL REVIEWS IN IMMUNOLOGY,B2
1040-841X,CRITICAL REVIEWS IN MICROBIOLOGY,A1
1040-8428,CRITICAL REVIEWS IN ONCOLOGY/HEMATOLOGY,A1
1040-8444,CRITICAL REVIEWS IN TOXICOLOGY,A1
0261-2194,CROP PROTECTION,A1
1521-4079,CRYSTAL RESEARCH AND TECHNOLOGY,B1
0970-647X,CSI COMMUNICATIONS,C
1989-4155,CUADERNOS DE EDUCACIÓN Y DESARROLLO,C
2146-2852,CUMHURIYET DENTAL JOURNAL,B4
2168-8184,CUREUS,B1
1874-6098,CURRENT AGING AND LONGEVITY SCIENCE (PRINT),B1
1573-403X,CURRENT CARDIOLOGY REVIEWS,A4
2542-5803,CURRENT DENTISTRY,C
1573-3998,CURRENT DIABETES REVIEWS,A3
1567-2018,CURRENT DRUG DELIVERY,A4
1574-8863,CURRENT DRUG SAFETY,B2
1936-3761,CURRENT FUNGAL INFECTION REPORTS,B1
2069-4032,CURRENT HEALTH SCIENCES JOURNAL (ONLINE),B3
1570-162X,CURRENT HIV RESEARCH (PRINT),B2
1467-3045,CURRENT ISSUES IN MOLECULAR BIOLOGY (ONLINE),B1
0929-8673,CURRENT MEDICINAL CHEMISTRY,A1
1432-0991,CURRENT MICROBIOLOGY,B1
0343-8651,CURRENT MICROBIOLOGY (PRINT),B1
1570-159X,CURRENT NEUROPHARMACOLOGY,A1
1718-7729,CURRENT ONCOLOGY,A4
1534-6269,CURRENT ONCOLOGY REPORTS,A2
2196-3002,CURRENT ORAL HEALTH REPORTS,A3
1573-3963,CURRENT PEDIATRIC REVIEWS,A4
1381-6128,CURRENT PHARMACEUTICAL DESIGN (PRINT),A3
1389-2037,CURRENT PROTEIN AND PEPTIDE SCIENCE,B1
1046-1310,"CURRENT PSYCHOLOGY (NEW BRUNSWICK, N.J.)",A1
2590-2628,CURRENT RESEARCH IN BIOTECHNOLOGY,A3
1949-0127,CURRENT RESEARCH IN DENTISTRY (ONLINE),B3
1574-888X,CURRENT STEM CELL RESEARCH AND THERAPY,A4
0070-2153,CURRENT TOPICS IN DEVELOPMENTAL BIOLOGY,C
0973-8916,CURRENT TRENDS IN BIOTECHNOLOGY AND PHARMACY,B3
2196-3045,CURRENT TROPICAL MEDICINE REPORTS,A1
0011-4162,"CUTIS (NEW YORK, N.Y.)",B1
1043-4666,CYTOKINE,A2
0956-5507,CYTOPATHOLOGY (OXFORD. PRINT),B1
1465-3249,CYTOTHERAPY (OXFORD),A2
2953-4917,DATA AND METADATA (ONLINE),A3
2175-6600,DEBATES EM EDUCAÇÃO,A3
2763-9037,DEBATES EM PSIQUIATRIA (ONLINE),B2
1988-5245,DELOS: DESARROLLO LOCAL SOSTENIBLE,B2
1980-5764,DEMENTIA & NEUROPSYCHOLOGIA,B2
1421-9824,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS (ONLINE),A3
1644-387X,DENTAL AND MEDICAL PROBLEMS,A4
2155-8213,DENTAL HYPHOTESES,B2
0109-5641,DENTAL MATERIALS,A1
0287-4547,DENTAL MATERIALS JOURNAL,A2
2613-4950,DENTAL ORAL BIOLOGY AND CRANIOFACIAL RESEARCH,B3
2178-3713,DENTAL PRESS ENDODONTICS,B4
2358-2545,DENTAL PRESS ENDODONTICS (ONLINE),B4
2176-9451,DENTAL PRESS JOURNAL OF ORTHODONTICS,A4
2177-6709,DENTAL PRESS JOURNAL OF ORTHODONTICS,A4
2008-0255,DENTAL RESEARCH JOURNAL,B1
1980-5691,DENTAL SCIENCE,C
1600-9657,DENTAL TRAUMATOLOGY (ONLINE),A1
1600-4469,DENTAL TRAUMATOLOGY (PRINT),A1
0305-5000,DENTAL UPDATE,C
2304-6767,DENTISTRY JOURNAL,C
2772-5596,DENTISTRY REVIEW,C
2167-8677,DENTISTRY 3000,B4
0250-832X,DENTO-MAXILLO-FACIAL RADIOLOGY,A1
1476-542X,DENTOMAXILLOFACIAL RADIOLOGY (ONLINE),A1
2224-4131,DERECHO Y CAMBIO SOCIAL,A2
1076-0512,DERMATOLOGIC SURGERY,A2
1529-8019,DERMATOLOGIC THERAPY,A1
1018-8665,DERMATOLOGY (BASEL),A1
1087-2108,DERMATOLOGY ONLINE JOURNAL,B1
2160-9381,DERMATOLOGY PRACTICAL & CONCEPTUAL,A4
2296-3529,DERMATOPATHOLOGY,B1
2359-3652,DESAFIOS: REVISTA INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DO TOCANTINS,A4
0012-1606,DEVELOPMENTAL BIOLOGY (PRINT),A4
1097-0177,DEVELOPMENTAL DYNAMICS,A2
1758-5996,DIABETOLOGY & METABOLIC SYNDROME,A2
1097-0339,DIAGNOSTIC CYTOPATHOLOGY (ONLINE),B1
8755-1039,DIAGNOSTIC CYTOPATHOLOGY (PRINT),B1
0732-8893,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,A4
1746-1596,DIAGNOSTIC PATHOLOGY,A3
2075-4418,DIAGNOSTICS,A2
0033-6580,DIE QUINTESSENZ (BERLIN),C
0301-4681,DIFFERENTIATION (LONDON),A4
1590-8658,DIGESTIVE AND LIVER DISEASE,A2
2212-0548,DIGITAL APPLICATIONS IN ARCHAEOLOGY AND CULTURAL HERITAGE (ONLINE),A1
2055-2076,DIGITAL HEALTH,A3
1808-4435,DIREITO UNIFACS,A2
2211-5242,"DISABILITY, CBR & INCLUSIVE DEVELOPMENT",B2
1935-7893,DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS,A1
2731-4537,DISCOVER PSYCHOLOGY (ONLINE),B1
2730-647X,DISCOVER WATER,B4
1875-8630,DISEASE MARKERS,C
0011-5029,DISEASE-A-MONTH,A4
2079-9721,DISEASES,C
1120-8694,DISEASES OF THE ESOPHAGUS,A3
1413-9448,DISSERTATIO (UFPEL),A2
2176-2724,DISTÚRBIOS DA COMUNICAÇÃO,B2
0102-762X,DISTÚRBIOS DA COMUNICAÇÃO,B2
2525-5215,DIVERSITAS JOURNAL,A2
1044-5498,DNA AND CELL BIOLOGY,A3
0148-0545,"DRUG AND CHEMICAL TOXICOLOGY (NEW YORK, N.Y. 1978)",A2
2190-393X,DRUG DELIVERY AND TRANSLATIONAL RESEARCH,A1
0012-6667,DRUGS (BASEL),A1
2177-8264,DST BRAZILIAN JOURNAL OF SEXUALLY TRANSMITTED DISEASES,B3
0103-4065,DST. JORNAL BRASILEIRO DE DOENCAS SEXUALMENTE TRANSMISSIVEIS,B3
0143-7208,DYES AND PIGMENTS,A1
1432-0460,DYSPHAGIA,A1
0179-051X,DYSPHAGIA (NEW YORK. PRINT),A1
2675-8539,E-ACADÊMICA,C
2177-8310,EAD EM FOCO - REVISTA DE EDUCAÇÃO A DISTÂNCIA,A1
1538-4667,EAR & HEARING,A1
1590-1262,EATING AND WEIGHT DISORDERS (ONLINE),A2
2352-3964,EBIOMEDICINE,A1
2589-5370,ECLINICALMEDICINE,A1
2045-7758,ECOLOGY AND EVOLUTION,A3
0367-0244,ECOLOGY OF FOOD AND NUTRITION,A4
0147-6513,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,A1
1862-2879,EDI JOURNAL: EUROPEAN JOURNAL FOR DENTAL IMPLANTOLOGISTS (PRINT),C
2317-0093,EDUCAÇÃO EM FOCO (UEMG) ONLINE,A3
1809-3760,EDUCAÇÃO ON-LINE (PUCRJ),A4
1676-2592,EDUCAÇÃO TEMÁTICA DIGITAL,A1
1981-8106,EDUCAÇÃO: TEORIA E PRÁTICA,A2
2227-7102,EDUCATION SCIENCES,C
2038-9442,EDUCATION SCIENCES AND SOCIETY,B1
1983-7771,EDUCATIVA (GOIÂNIA. ONLINE),A2
1981-4712,EDUCERE ET EDUCARE (VERSÃO ELETRÔNICA),A4
1687-8809,"EGYPTIAN ACADEMIC JOURNAL OF BIOLOGICAL SCIENCES. A, ENTOMOLOGY",C
2090-536X,EGYPTIAN JOURNAL OF FORENSIC SCIENCES,A2
2317-6385,EINSTEIN (SAO PAULO),A4
1679-4508,EINSTEIN (SÃO PAULO),A4
0472-5158,EL ODONTÓLOGO (PANAMÁ),C
2050-084X,ELIFE,A1
2522-5731,EMERGENT MATERIALS,A2
2222-1751,EMERGING MICROBES & INFECTIONS (ONLINE),A1
2673-8392,ENCYCLOPEDIA,B1
1871-5303,"ENDOCRINE, METABOLIC AND IMMUNE DISORDERS. DRUG TARGETS",A4
1351-0088,ENDOCRINE-RELATED CANCER,A2
2791-6197,"ENERGY, ENVIRONMENTAL AND STORAGE (ONLINE)",B3
2447-2034,ENFERMAGEM ATUAL IN DERME,B1
1678-2410,ENFERMAGEM BRASIL,B1
2177-4285,ENFERMAGEM EM FOCO,A4
0213-005X,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGÍA CLÍNICA (ED. IMPRESA),B1
1695-6141,ENFERMERÍA GLOBAL,A4
1415-6938,"ENSAIOS E CIÊNCIA: CIÊNCIAS BIOLÓGICAS, AGRÁRIAS E DA SAÚDE",B1
2178-695X,"ENSAIOS E CIÊNCIA: CIÊNCIAS BIOLÓGICAS, AGRÁRIAS E DA SAÚDE",B1
2359-4381,ENSINO & PESQUISA,A3
2594-3901,ENSINO E TECNOLOGIA EM REVISTA,A4
1983-7011,"ENSINO, SAÚDE E AMBIENTE",A3
1099-4300,ENTROPY (BASEL. ONLINE),A2
0160-4120,ENVIRONMENT INTERNATIONAL,A1
1059-0501,ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,C
0167-6369,ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT),A2
0269-7491,ENVIRONMENTAL POLLUTION (1987),A1
1935-3049,ENVIRONMENTAL RESEARCH JOURNAL,B4
0013-9351,"ENVIRONMENTAL RESEARCH (NEW YORK, N.Y. PRINT)",A1
0944-1344,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,A2
2673-3986,EPIDEMIOLOGIA,C
1679-4974,EPIDEMIOLOGIA E SERVICOS DE SAUDE,A2
2237-9622,EPIDEMIOLOGIA E SERVIÇOS DE SAÚDE,A2
2092-7193,EPIDEMIOLOGY AND HEALTH,A3
0950-2688,EPIDEMIOLOGY AND INFECTION (PRINT),A4
1559-2294,EPIGENETICS (AUSTIN),A4
1516-6406,ESSENTIA (SOBRAL/CE),B4
2791-9552,ESSENTIALS OF DENTISTRY,C
0103-6831,ESTUDOS EM AVALIAÇÃO EDUCACIONAL (IMPRESSO),A1
2316-2171,ESTUDOS INTERDISCIPLINARES DO ENVELHECIMENTO - PORTO ALEGRE,A4
1517-2473,ESTUDOS INTERDISCIPLINARES SOBRE O ENVELHECIMENTO,A4
2286-4822,EUROPEAN ACADEMIC RESEARCH,C
0937-4477,EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,A1
1996-9805,EUROPEAN ARCHIVES OF PAEDIATRIC DENTISTRY (ONLINE),A1
1818-6300,EUROPEAN ARCHIVES OF PAEDIATRIC DENTISTRY (PRINT),A1
2791-7452,EUROPEAN DENTAL RESEARCH AND BIOMATERIALS JOURNAL (ONLINE),C
2548-0839,EUROPEAN ENDODONTIC JOURNAL,A1
1136-4890,EUROPEAN JOURNAL OF ANATOMY,B3
1365-2354,EUROPEAN JOURNAL OF CANCER CARE,A4
0959-8278,EUROPEAN JOURNAL OF CANCER PREVENTION,A4
1365-2362,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,A1
0031-6970,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,A3
1432-1041,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY (INTERNET),A3
2684-4443,EUROPEAN JOURNAL OF DENTAL AND ORAL HEALTH,C
1396-5883,EUROPEAN JOURNAL OF DENTAL EDUCATION,A2
1305-7464,EUROPEAN JOURNAL OF DENTISTRY (ONLINE),A2
1305-7456,EUROPEAN JOURNAL OF DENTISTRY (PRINT),A2
0954-691X,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,A4
2278-9626,EUROPEAN JOURNAL OF GENERAL DENTISTRY,C
2320-4753,EUROPEAN JOURNAL OF GENERAL DENTISTRY (ONLINE),C
2510-3636,EUROPEAN JOURNAL OF HYBRID IMAGING,A4
0953-6205,EUROPEAN JOURNAL OF INTERNAL MEDICINE (LEICESTER),A1
2047-783X,EUROPEAN JOURNAL OF MEDICAL RESEARCH,A3
0223-5234,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,A1
2231-0894,EUROPEAN JOURNAL OF MEDICINAL PLANTS,B1
2532-3466,EUROPEAN JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,C
0909-8836,EUROPEAN JOURNAL OF ORAL SCIENCES,A4
1460-2210,EUROPEAN JOURNAL OF ORTHODONTICS (ONLINE),A1
0141-5387,EUROPEAN JOURNAL OF ORTHODONTICS (PRINT),A1
1633-8065,EUROPEAN JOURNAL OF ORTHOPAEDIC SURGERY & TRAUMATOLOGY,A3
1591-996X,EUROPEAN JOURNAL OF PAEDIATRIC DENTISTRY,A2
2035-648X,EUROPEAN JOURNAL OF PAEDIATRIC DENTISTRY,A2
1532-2149,EUROPEAN JOURNAL OF PAIN (ONLINE),A1
0340-6199,EUROPEAN JOURNAL OF PEDIATRICS,A2
2394-3211,EUROPEAN JOURNAL OF PHARMACEUTICAL AND MEDICAL RESEARCH,C
0014-2999,EUROPEAN JOURNAL OF PHARMACOLOGY,A2
1973-9087,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE (TESTO STAMPATO),A1
0930-343X,EUROPEAN JOURNAL OF PLASTIC SURGERY,B2
2396-8893,EUROPEAN JOURNAL OF PROSTHODONTICS AND RESTORATIVE DENTISTRY,A3
1101-1262,EUROPEAN JOURNAL OF PUBLIC HEALTH,A1
0720-048X,EUROPEAN JOURNAL OF RADIOLOGY,A2
1746-1391,EUROPEAN JOURNAL OF SPORT SCIENCE (PRINT),A1
2564-7784,EUROPEAN JOURNAL OF THERAPEUTICS (PRINT),B2
0924-977X,EUROPEAN NEUROPSYCHOPHARMACOLOGY,A1
2651-2823,EUROPEAN ORAL RESEARCH (ONLINE),B1
0014-3057,EUROPEAN POLYMER JOURNAL,A1
0163-2787,EVALUATION & THE HEALTH PROFESSIONS,A2
1741-4288,EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE (ONLINE),C
1741-427X,EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE (PRINT),C
1462-0049,EVIDENCE-BASED DENTISTRY,A3
2675-7486,EVIDÊNCIA,B4
2236-6059,EVIDÊNCIA - CIÊNCIA E BIOTECNOLOGIA,B2
1678-5428,EXACTA (SÃO PAULO),B2
1611-2156,EXCLI JOURNAL,A1
2447-1151,EXPERIÊNCIA - REVISTA CIENTÍFICA DE EXTENSÃO,B2
1304-0855,EXPERIMENTAL AND CLINICAL TRANSPLANTATION,B2
0014-4800,EXPERIMENTAL AND MOLECULAR PATHOLOGY (PRINT),A1
1535-3702,"EXPERIMENTAL BIOLOGY AND MEDICINE (MAYWOOD, N.J.: PRINT)",A3
0014-4827,EXPERIMENTAL CELL RESEARCH,A3
0906-6705,EXPERIMENTAL DERMATOLOGY,A1
0531-5565,EXPERIMENTAL GERONTOLOGY,A3
0014-4894,EXPERIMENTAL PARASITOLOGY,B1
1469-445X,EXPERIMENTAL PHYSIOLOGY,A3
1742-5247,EXPERT OPINION ON DRUG DELIVERY (PRINT),A1
1465-6566,EXPERT OPINION ON PHARMACOTHERAPY,A3
1478-7210,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,A1
1751-2433,EXPERT REVIEW OF CLINICAL PHARMACOLOGY,A1
1747-4124,EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY (PRINT),A2
1743-4440,EXPERT REVIEW OF MEDICAL DEVICES (PRINT),A1
1478-9450,EXPERT REVIEW OF PROTEOMICS (PRINT),A2
0957-4174,EXPERT SYSTEMS WITH APPLICATIONS,A1
1550-8307,"EXPLORE (NEW YORK, N.Y.)",A2
2358-8195,EXPRESSA EXTENSÃO,A4
2398-0060,EXRNA,B2
2674-9319,EXTENSÃO TECNOLÓGICA (ONLINE),A4
1807-0221,EXTENSIO: REVISTA ELETRÔNICA DE EXTENSÃO,B2
2596-0210,FACE,C
2732-5016,FACE: JOURNAL OF THE AMERICAN SOCIETY OF MAXILLOFACIAL SURGEONS (ONLINE),B3
1064-7406,FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA,C
2526-4281,FACIT BUSINESS AND TECHNOLOGY JOURNAL,A2
2526-8023,FACULDADE SANT'ANA EM REVISTA,A4
0160-6379,FAMILY & COMMUNITY HEALTH,B1
0168-6496,FEMS MICROBIOLOGY ECOLOGY (PRINT),A1
1551-3815,FETAL AND PEDIATRIC PATHOLOGY,A4
1229-9197,FIBERS AND POLYMERS,A2
2238-8028,FISIOTERAPIA & SAÚDE FUNCIONAL,B3
2526-9747,FISIOTERAPIA BRASIL (ONLINE),B2
2316-9117,FISIOTERAPIA E PESQUISA,B1
1980-5918,FISIOTERAPIA EM MOVIMENTO,B1
2318-3381,FISISENECTUS,B3
0367-326X,FITOTERAPIA (MILANO),A4
0015-4725,FLUORIDE,B1
1981-223X,FOCO (FACULDADE NOVO MILÊNIO),C
0204-8043,FOLIA MEDICA,B1
0015-5632,FOLIA MICROBIOLOGICA (PRAGUE),A4
0015-5659,FOLIA MORPHOLOGICA,A4
2042-650X,FOOD & FUNCTION,A1
5406-5415,FOOD & FUNCTION (ONLINE),A1
0278-6915,FOOD AND CHEMICAL TOXICOLOGY,A1
2212-4292,FOOD BIOSCIENCE,A2
0308-8146,FOOD CHEMISTRY,A1
