pmid,doi,titulo,revista,ano,autores,abstract
29998356,10.1007/s10103-018-2583-9,Low-level laser therapy (830 nm) on orthodontic pain: blinded randomized clinical trial.,Lasers in medical science,2019,Martins IP; Martins RP; Caldas SGFR; Dos Santos-Pinto A; Buschang PH; Pretel H,"The objective of this research was to compare the effect single low-level laser therapy (LLLT) irradiation on pain perception in patients having fixed appliance treatment in the clinic of orthodontics. Sixty-two patients were recruited to participate in this randomized, double-blinded, placebo-controlled study. The patients were assigned to four groups: group I-laser on the right side; group II-placebo on the right side; group III-laser on the left side; group IV-placebo on the left. The laser or placebo was applied before separation, 24 and 48 h after separation of their first permanent molars in the lower arch. Just after the separation, the average of the pain for the placebo group was 1.6, significantly greater than the average of 1.1 registered for the laser group (p = 0.013). After 24 h and before the new irradiation, the values registered among the different groups did not show any differences. In relation to the gender, only after the first irradiation in placebo group, the female had a level of pain (0.1) significantly higher (p = 0.04) compared to male, and after 48 h, the group where the laser was applied had a difference (p = 0.04) among the gender with a value of lower pain for men (0.6) than for women (1.6).The laser irradiation to minimize the pain was only effective when applied immediately after treatment and separation. In general way, there were no differences between the genders, except after the first placebo group irradiation in which the female had a significantly higher level of pain compared to male and after 48 h. The pain cycle observed in this study had its peak in 24 h, both for laser's and placebo's group."
40975043,10.1016/j.archoralbio.2025.106397,Antimicrobial effect of cinnamaldehyde in a peri-implant mucositis model.,Archives of oral biology,2025,D'Assunção VCDSC; Borges-Grisi MHS; Muniz IMB; Gomes Filho FN; Brito Bastos CF; Silva LFA; Xavier-Júnior FH; Assunção E Souza RO; Almeida LFD,"OBJECTIVE: Evaluate the antimicrobial effect of an experimental mouthwash containing 1 % cinnamaldehyde in a polymicrobial biofilm model for peri-implant mucositis. MATERIALS AND METHODS: Polymicrobial biofilms were seeded on zirconia and on titanium (n = 6 or 8/group) surfaces from stimulated saliva collection from 2 periodontal health donors and 2 with gingivitis. Salivary pellicle was performed, by 60 min. Inoculum was seeded (1 ×108 CFU/mL) in McBain medium (1 % of sucrose). Biofilms on zirconia were cultured in aerobiosis and on titanium in microaerophilic conditions for 24 h. Daily challenges with 10 % sucrose were stablished. Samples were exposed to the experimental mouthwash for 1 min, twice a day, for 72 h. Chlorhexidine digluconate at 0.12 % and saline solution (at 0.9 %) were used as controls. Biofilms were kept in culture for an additional 24 h to count viable cells, evaluate biomass and cellular metabolism. RESULTS: In zirconia, evaluation of cellular metabolism did not detect a statistically significant difference between the biofilm conditions (p > 0.05). It was found that cellular metabolism was decreased from exposure to mouthwash and chlorhexidine, with a difference compared to the negative control (p < 0.05). In titanium, viable cell count in two media and the biomass were higher for biofilms from the periodontal health salivary condition (p < 0.05). There was a decrease in the biomass of biofilms exposed to the experimental mouthwash for both salivary conditions. Metabolic activity was decreased when exposed to experimental mouthwash and chlorhexidine compared to the negative control (p < 0.05). CONCLUSIONS: Experimental mouthwash with 1 % cinnamaldehyde showed an antimicrobial effect similar to chlorhexidine against polymicrobial biofilms."
38218332,10.1016/j.jormas.2024.101765,"Hamartomas, choristomas, and teratomas of the oral cavity: A 49-years cross-sectional study in an oral diagnostic service.","Journal of stomatology, oral and maxillofacial surgery",2024,de Souto Medeiros MR; da Silva Barros CC; Rolim LSA; Pinto LP; Miguel MCDC; da Silveira ÉJD,"BACKGROUND: To investigate the incidence and demographic profile of hamartomatous, choristomatous, and teratoid lesions in a Brazilian population over a 49 years-period. METHODS: A retrospective cross-sectional study was performed, and data regarding demographic and clinical aspects were obtained from the medical records of a Brazilian referral center (1970-2019). The collected data were submitted to descriptive analysis and Pearson's chi-square, Fisher's exact, and Kruskal-Wallis tests (p ≤ 0.05). RESULTS: In a total of 16,412 medical records analyzed, 300 (1.83 %) were hamartomatous, 2 (0.01 %) choristomatous, and 1 (0.01 %) teratoid lesions. Hamartomas were most diagnosed in females and adults. Statistical significance was observed between hamartoma and age group (p < 0.001). Odontoma was the most frequent hamartomatous lesion. In choristomatous and teratoid lesions, there was no occurrence in males. The jaws were the most affected anatomical site by hamartoma. Choristomas were observed on the mandible and tongue, while a teratoid lesion was seen on the floor of the mouth. CONCLUSIONS: Low occurrence of choristomatous and teratoid lesions over hamartomatous lesions and a heterogeneous occurrence profile regarding sex, age group, and anatomic site were observed. Hamartomas are relatively common and benign conditions that may cause damage and require special care during dental treatment. Thus, the dentist needs to be able to identify and treat them appropriately. Likewise, although choristomas and teratomas present no risk to patients and have a lower occurrence than hamartomas, they also require treatment."
29807235,10.1016/j.archoralbio.2018.05.017,Efficacy of red propolis hydro-alcoholic extract in controlling Streptococcus mutans biofilm build-up and dental enamel demineralization.,Archives of oral biology,2018,Martins ML; Leite KLF; Pacheco-Filho EF; Pereira AFM; Romanos MTV; Maia LC; Fonseca-Gonçalves A; Padilha WWN; Cavalcanti YW,"OBJECTIVE: The efficacy of a red propolis hydro-alcoholic extract (RP) in controlling Streptococcus mutans biofilm colonization was evaluated. The effect of RP on dental demineralization was also investigated. METHODS: Chemical composition was determined by High Performance Liquid Chromatography (HPLC). Minimum Inhibitory and Bactericidal Concentration (MIC and MBC, respectively) were investigated against Streptococcus mutans (ATCC 25175). The cytotoxic potential of 3% RP in oral fibroblasts was observed after 1 and 3 min. Bovine dental enamel blocks (N = 24) were used for S. mutans biofilm formation (48 h), simulating 'feast or famine' episodes. Blocks/biofilms were exposed 2×/day, for 3 days, to a cariogenic challenge with sucrose 10% (5 min) and treated (1 min) with: 0.85% saline solution (negative control), 0.12% Chlorhexidine (CHX, positive control for biofilm colonization), 0.05% Sodium Fluoride (NaF, positive control to avoid demineralization) and 3% RP. Biofilms were assessed for viability (CFU/mL), and to observe the concentration of soluble and insoluble extracellular polysaccharides (SEPS and IEPS). Dental demineralization was assessed by the percentage of surface hardness loss (%SHL) and through polarized light microscopy (PLM). RESULTS: The RP presented 4.0 pH and ºBrix = 4.8. The p-coumaric acid (17.2 μg/mL) and luteolin (15.23 μg/mL) were the largest contents of phenolic acids and flavonoids, respectively. MIC and MBC of RP were 293 μg/mL and 1172 μg/mL, respectively. The 3% RP showed 43% of viably cells after 1 min. Lower number (p < 0.05) of viable bacteria (CFU/mL) was observed after CHX (1.8 × 105) followed by RP (1.8 × 107) treatments. The lowest concentration (μg/CFU) of SEPS (12.6) and IEPS (25.9) was observed in CHX (p < 0.05) followed by RP (17.1 and 54.3), and both differed from the negative control (34.4 and 63.9) (p < 0.05). Considering the %SHL, all groups differed statistically (p < 0.05) from the negative control (46.6%); but NaF (13.9%), CHX (20.1%) and RP (20.7%) did not differ among them (p > 0.05). After all treatments, suggestive areas of caries lesions were observed by PLM, which were lower for CHX and NaF. CONCLUSION: The 3% RP reduced S. mutans colonization, decreased concentration of extracellular polysaccharides and reduced dental enamel demineralization."
35001178,10.1007/s10006-021-01024-z,Influence of the mandibular plane and magnitude of the movement in sagittal split ramus osteotomy: an in vitro study.,Oral and maxillofacial surgery,2022,de Assis GM; Dos Santos VDB; Queiroz SIML; Germano AR,"PURPOSE: The aim of this study was to evaluate fixation resistance in mandibular sagittal split ramus osteotomy in standardized polyurethane hemimandibles with two types of advancement (6 and 12 mm), with or without mandibular plane rotation, using a 2.0-mm plate/screw system. METHODS: Seven groups were evaluated using a vertical compressive load in the first molar region, and the applied force in Newtons was recorded in 1 mm, 5 mm, and 10 mm displacements, as well as the maximum force. RESULTS: There was a statistical intergroup difference and it was observed that increasing the advancement decreased fixation resistance with a single plate, and inserting an additional plate significantly increased osteosynthesis resistance. CONCLUSION: In the 12 mm advancements, clockwise rotation proved to be more resistant when fixed with only one plate. By contrast, counterclockwise rotation was significantly more resistant in stabilizing the mandibular sagittal ramus osteotomy when two plates were used."
40903697,10.1007/s10534-025-00720-7,"Selenium status markers and their relationship with anthropometric, glycemic, and inflammatory variables in institutionalized older adults.","Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine",2025,Padovam JC; Ferreira RLU; Torres-Rêgo M; Daniele-Silva A; Sales MC; de Lima KC; Barbosa F; Sena-Evangelista KCM; Pedrosa LFC,"Selenium's role in aging is supported by its involvement in antioxidant defense, immune function, and cellular maintenance. Adequate selenium levels can contribute to healthier aging. This cross-sectional study investigated the associations of selenium status markers with anthropometric parameters, glycemic profile, and inflammatory biomarkers in 72 older adults living in nursing homes (NH). Plasma selenium levels were measured using inductively coupled plasma mass spectrometry, and selenoprotein P (SELENOP) was determined using enzyme-linked immunosorbent assay. Dietary selenium intake data were obtained by directly weighing the food at two different times, with an interval of 30 to 45 days between them. The mean age was 83 (8.6) years. The median (IQR) of plasma selenium levels was 88.20 (76.0-106.0)µg/L, for SELENOP 32.30 (29.2-33.5)ng/mL, and the mean (SD) of dietary selenium intake was 72.7 (11.9)µg/day. Overall, 65.2% of participants exhibited elevated glycated hemoglobin (HbA1c) levels. Insufficient plasma selenium levels to optimize SELENOP (< 100 μg/L) showed a significant association with being underweight (p = 0.04). Participants with low SELENOP and low dietary selenium intake had HbA1c levels above 6.4% (p = 0.05). Plasma selenium levels and dietary selenium intake were positively correlated with body mass index (ρ = 0.408, p = 0.001 and r = 0.382, p = 0.004, respectively). Selenium status markers were not associated with the inflammatory biomarkers. However, half of the population had high levels of IL-6 and TNF-α, and 98.5% had high levels of hs-CRP. In conclusion, lower plasma selenium was associated with underweight status, while reduced SELENOP and dietary selenium intake correlated with elevated HbA1c in older adults in NH."
37194849,10.1590/0103-6440202305117,"EGFR, VEGF, and angiogenesis promote the development of lipoma in the oral cavity.",Brazilian dental journal,2023,Silva WRD; Pires HF; França GM; Freitas RA; Morais HGF; Galvão HC,"This study aimed to detect, quantify and compare the immunohistochemical expression of EGFR and VEGF and microvessel count (MVC) in oral lipomas, and to correlate the findings with clinical and morphological characteristics of the cases studied. The sample consisted of 54 oral lipomas (33 classic and 21 non-classic) and 23 normal adipose tissue specimens. Cytoplasmic and/or nuclear immunohistochemical staining of EGFR and VEGF was analyzed. The angiogenic index was determined by MVC. Cells were counted using the Image J® software. The Statistical Package for the Social Sciences was used for data analysis, adopting a level of significance of 5% for all statistical tests. A statistically significant difference in EGFR immunoexpression (p=0.047), especially, between classic lipomas and normal adipose tissue. There was a significant difference in MVC between non-classic lipomas and normal adipose tissue (p=0.022). In non-classic lipomas, only VEGF immunoexpression showed a significant moderate positive correlation (r=0.607, p=0.01) with MVC. In classic lipomas, the number of EGFR-immunostained adipocytes was directly proportional to the number of VEGF-positive cells, demonstrating a significant moderate positive correlation (r=0.566, p=0.005). The results suggest that EGFR, VEGF, and angiogenesis participate in the development of oral lipomas but are not primarily involved in the growth of these tumors."
32830311,10.1111/idj.12586,Accuracy of a questionnaire on xerostomia as a screening tool for hyposalivation.,International dental journal,2020,de Carvalho HN; Dos Santos YL; Bernardino ÍM; de Lima KC; Granville-Garcia AF; Melo de Brito Costa EM,"OBJECTIVE: Determine the accuracy of a questionnaire on xerostomia as a screening tool for hyposalivation. METHODS: A total of 402 adults awaiting dental care at a public healthcare service answered an eight-item questionnaire addressing xerostomia and were submitted to stimulated sialometry, with ≤ 0.7 mL/min considered indicative of hyposalivation. Reproducibility and internal consistency of the questionnaire were evaluated. The correlation between the score and salivary flow was investigated. The total score was also compared between groups with and without hyposalivation and diagnostic precision measures were calculated. RESULTS: Hyposalivation was identified in 162 participants (40.3%) and a total of 229 (57.0%) answered affirmatively to at least one question. The responses to each question revealed variable reproducibility (κ = 0.450-0.785) and satisfactory internal consistency (Cronbach's α = 0.70). Individuals with a larger number of positive answers had lower salivary flow (Spearman's ρ = -0.193; P < 0.001). The mean number of positive answers was greater in the group with a clinical diagnosis of hyposalivation compared to those without low salivary flow. The sensitivity of the screening tool was 64.8%, with an area under the ROC curve of 0.60 (95% confidence interval: 0.547-0.645; P < 0.001). CONCLUSION: The questionnaire proved to be useful for the epidemiological screening of individuals with possible hyposalivation."
37672459,10.1590/1413-81232023289.15422022,Temporal trend in the incidence of human visceral leishmaniasis in Brazil.,Ciencia & saude coletiva,2023,Santos Júnior CJD; Santos MMD; Lins FCCO; Silva JP; Lima KC,"It is an ecological study that analyzed the time trend of visceral leishmaniasis incidence rates in Brazil using segmented time regression by joinpoints. There was a decreasing incidence rate of this disease in the country with an average annual percent change (AAPC) of -5 (CI95%: -9.1; -0.6) and a reduction of 1.69 cases/100 thousand inhabitants in 2007, and 0.91/100 thousand inhabitants in 2020. The Central-West region showed the highest reduction percent (AAPC: -9.1; CI95%: -13.8; -4.3), followed by the Southeast region (AAPC: -8.7; -14.6; -2.5). The North and South regions showed the largest number of joinpoints in the time series. The highest incidences were recorded in the male population, however, stable (AAPC: 2.14; CI95%: -8.3; 0). In the age group analysis, the trend was decreasing for the groups from 0 to 4 years old (AAPC: -7.7; CI95%: -12.6; -2.4), 5 to 9 years old (AAPC: -7.3; CI95%: -13.6; -0,4) and 10 to 14 years old (AAPC: -5.5; CI95%: -10.3; -0.3). It was found that although Visceral Leishmaniasis is an endemic disease in Brazil, there was a decrease in its incidence rate from 2007 to 2020."
23101044,N/A,Evaluation of complete denture quality and masticatory efficiency in denture wearers.,The International journal of prosthodontics,2012,Ribeiro JA; de Resende CM; Lopes AL; Mestriner W; Roncalli AG; Farias-Neto A; Carreiro Ada F,"PURPOSE: This study aimed to investigate (1) the influence of complete denture quality and years of denture use on masticatory efficiency and (2) the relationship between complete denture quality and years of use. MATERIALS AND METHODS: A cross-sectional study was conducted with 93 edentulous patients (mean age: 65.6 years) wearing both mandibular and maxillary dentures. Patients were classified into two categories according to years of denture use: ≤ 2 years and ≥ 5 years. Masticatory efficiency was evaluated via the colorimetric method with beads as the artificial test food. A reproducible method for objective evaluation of the technical quality of complete dentures was employed. The association between denture quality and years of denture use was analyzed using chi-square and Fisher exact tests. The results of masticatory efficiency testing were analyzed using two-way analysis of variance (with the Tukey post hoc test) in terms of years of denture use (≤ 2 years, ≥ 5 years) and denture quality (poor, average, good). RESULTS: A significant relationship was found between denture quality and years of denture use (P < .05). Masticatory efficiency differed significantly (P < .05) between patients with ≤ 2 years of denture use (0.101 ± 0.076 absorbance) and ≥ 5 years of use (0.068 ± 0.076 absorbance). Masticatory efficiency was not influenced by denture quality. CONCLUSIONS: Complete denture quality and masticatory efficiency significantly decreased over time. However, complete denture quality did not influence masticatory efficiency."
40919659,10.1002/cre2.70219,Nanostructured Clays Used as Carriers for Controlled Delivery of Antibacterial Compounds From Direct Restorative Dental Materials: A Scoping Review.,Clinical and experimental dental research,2025,de Barbosa BFS; Ferreira Neto JL; de Oliveira FJD; Leitão JSO; Costa MJF; Sette-de-Souza PH; Fechine PBA; Feitosa VP; Borges BCD,"OBJECTIVE: Through a scoping review, this study meticulously mapped and characterized these nanostructured clays used to release antibacterial active compounds from direct restorative dental materials. MATERIAL AND METHODS: The systematic approach involved searches in the PubMed/MEDLINE, Lilacs, Web of Science, Scopus, ScienceDirect, and Embase databases. Two independent and calibrated researchers (kappa: 0.94) performed all systematic steps according to the PRISMA guideline and the Joanna Briggs Institute Scoping Review Methodology Group (JBI) protocol. The reviewers developed a data extraction table to gather key information. RESULTS: A total of 782 articles were retrieved in the initial search using the specified strategies. After thoroughly reviewing the manuscripts, five were selected following the exclusion of duplicates and application of eligibility criteria. Montmorillonite and halloysite nanotubes emerged as the predominant nanostructured clay. Cetylpyridinium chloride was the most common active agent, notable for its antibacterial properties. Resin-based composites were the most frequently studied direct restorative material for the prevention of recurrent caries. CONCLUSION: Although the number of primary studies published in the literature was limited, montmorillonite and halloysite nanotubes appear to be promising nanocarriers for antibacterial active compounds in direct restorative dental materials."
33053323,10.1016/j.yexmp.2020.104552,Increased expression of ALDH-1 is associated with clinical parameters of salivary glands neoplasms.,Experimental and molecular pathology,2020,da Silva LP; Lopes MLDS; Sarmento ASC; de Albuquerque Borges M; de Moura SRS; Sobral APV; de Souza LB,"The enzyme aldehyde dehydrogenase-1 (ALDH-1) is a known putative tumour stem cells (TSC) marker, and these cells are implicated in carcinogenesis and progression of human neoplasms. We aimed to evaluate ALDH-1 expression in benign and malignant salivary gland neoplasms and its clinicopathological and prognostic significance. Expression of ALDH-1 was investigated by immunohistochemistry and confirmed by Western Blot analysis in 154 salivary gland neoplasms (103 malignant and 51 benign neoplasms). The expression was identified in the parenchyma of malignant (n = 88; 85.6%) and benign (100%) neoplasms. Overall, expression in the parenchyma varied considerably and was not associated with clinical parameters in most malignant neoplasms, however, a high expression in mucoepidermoid carcinomas (MEC) was associated with advanced pathological TNM stage (p = 0.047). The presence of ALDH-1 in stromal cells of malignant neoplasms (n = 67; 65.0%) was associated with lymph node metastasis (p = 0.032), tumour recurrence (p = 0.006) and death (p = 0.013). Overall and disease-free survival in 5 and 10 years was lower in patients with diagnosis of adenoid cystic carcinoma, tumour recurrence, advanced staging, and presence of ALDH-1 in the stroma. When adjusted by multivariate analysis, advanced staging and stromal expression were independent prognostic factors affecting disease-free survival. Our findings provide evidence that cells characterized as TSC in the parenchyma and stroma are differentially present among the different types of neoplasms studied and may be related to tumourigenesis, biological behaviour and persistence capacity of malignant tumours of the salivary gland."
35485984,10.1111/odi.14229,Microbiological analysis of oral biofilms in patients admitted to intensive care unit: Pilot study.,Oral diseases,2023,De Medeiros RFSB; da Silva RCM; Marinho LCN; Silva DNA; Tavares ILL; de Lima CACNRA; de Melo MCN; Sales RC; de Medeiros DSB; Bezerra B; da Silveira EJD; de Aquino Martins ARL,"AIM: To identify Pseudomonas aeruginosa and Staphylococcus aureus in oral biofilms of intubated and non-intubated patients admitted to an Intensive Care Unit (ICU). METHODS: This was a cross-sectional study, with 30 biofilm sites sampled. S. aureus and P. aeruginosa were identified by conventional biochemical assays. Antimicrobial susceptibility was tested by disk-diffusion. RESULTS: Of 30 sites, 50% contained P. aeruginosa and 3.33% S. aureus. P. aeruginosa was detected in similar amounts in all 3 sample sites, with 5 colonized sites (50%). S. aureus colonized a single supragingival site (3.33%). There was resistance to multiple antimicrobial agents of P. aeruginosa in 7 sites (100%) and S. aureus in 1 (100%). CONCLUSIONS: This study revealed an important relationship between P. aeruginosa and S. aureus colonization at supragingival, subgingival and lingual sites and intubation, thus revealing antimicrobial resistant bacteria colonization of medical interest, which may contribute to the therapy choice directed to these microorganisms."
39008458,10.1371/journal.pone.0306840,Social determinants and work-related musculoskeletal disorders in Brazil.,PloS one,2024,da Silva Pontes N; Costa de Assis SJ; de Oliveira GS; de Castro Santana R; de Oliveira Nunes RF; Bezerra Rocha EA; de Souza CG; Roncalli AG; Gonçalves Guedes MBO,"This study aimed to analyze the prevalence of work-related musculoskeletal disorders (WMSD) and their association with individual and contextual factors in the Brazilian population. This quantitative cross-sectional study used secondary data from the Brazilian National Health Survey from August 2013 to February 2014. The dependent variable included WMSD, and independent variables were analyzed as individual and contextual factors. WMSD was mostly prevalent in females, individuals aged 43 to 59 years, with chronic physical or mental disorders, reporting frequent sleep disorders, and performing integrative and complementary health practices, physical exercise or sports, and heavy physical activity or housework. Regarding contextual factors, high social classes and proportion of individuals with formal work were associated with a high prevalence of WMSD, whereas a high Gini index was associated with a low prevalence. Thus, a high prevalence of WMSD in the Brazilian population was associated with individual and contextual factors, which should be the target of health professionals for actions of promotion, prevention, and intervention at individual or collective care levels."
31502556,N/A,Analysis of nine cases of oral foreign body granuloma related to biomaterials.,Journal of biosciences,2019,Rolim LSA; Barros CCDS; Pinheiro JC; DE Oliveira PT; DE Souza LB; Santos PPA,"Foreign bodies can penetrate the interior of soft and, sometimes, hard, tissues in various ways, including through open wounds, lacerations and traumatic accidents. However over the years, evidence of links between the use of dental materials and lately, significant involvement of aesthetic filler materials as foreign bodies in the oral and perioral region have been reported. Foreign body granulomas (FBGs) may develop from this exogenous material, histopathologically characterized by the presence of chronic inflammation and a high amount of macrophages. This study presents nine FBG cases affecting the oral and perioral regions, and carries out a literature review on the main clinical, histopathological and material characteristics used in dental and dermatological procedures related to the appearance of this type of granuloma."
34910023,10.11606/s1518-8787.2021055003347,Admission of alumni from Multiprofessional Residency Programs into the SUS.,Revista de saude publica,2021,Flor TBM; Miranda NM; Marinho CDSR; Pinheiro JMF; Sette-de-Souza PH; Noro LRA,"INTRODUCTION: The Multiprofessional Health Residency Programs (PRMS) were set up as a strategy for training workforce for the Brazilian Unified Health System (SUS). OBJECTIVE: To investigate the proportion of alumni from Primary Health Care Multiprofessional Residency Programs admitted into the SUS and associated factors. METHODS: This is a sectional study developed with alumni from Primary Health Care Multiprofessional Residency Programs from all over Brazil, encompassing the period from 2015 to 2019. Participants answered an online questionnaire with general personal information, admission into stricto sensu graduate school, the labor market and, specifically, the SUS. We applied Pearson's chi-square test for bivariate analyses and Poisson's regression for multiple analysis. RESULTS: A total of 365 alumni from Programs from all Brazilian regions participated in the study. Of those, 80.2% reported entry into the labor market and 47.9% reported being employed in the SUS. Admission into the SUS has been associated with the professions that make up the Reference Team for Primary Health Care (PHC) (PR = 1.87; 95% CI 1.54-2.28) and non-admission into stricto sensu graduate programs (PR = 0.77; 95% CI 0.61-0.97). Regarding admission characteristics, the PHC scenario (47.4%) and work focused on health care (84.9%) were prevalent. Almost 40% of alumni who entered the SUS are working with unstable contracts. Besides, being a residency alumnus is often undervalued in recruitment (56.9%). Among those admitted into the SUS, 8.7% reported being selected to work in the Covid-19 pandemic effort. CONCLUSIONS: The results of this study reinforce the need for a policy to encourage the maintenance, creation and valorization of the PRMS. They also warn about the possibility that admission into the SUS for workers is increasingly difficult due to the current underfunding of the health system."
21913991,10.1111/j.1600-0714.2011.01075.x,Immunoexpression of TNF-α and TGF-β in central and peripheral giant cell lesions of the jaws.,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,2012,de Matos FR; de Moraes M; Nonaka CF; de Souza LB; de Almeida Freitas R,"BACKGROUND: Peripheral giant cell lesion (PGCL) is a reactive process associated with a local irritating factor that shows low recurrence after treatment, especially if the irritating factor is eliminated. On the other hand, central giant cell lesion (CGCL) presents a variable clinical behavior ranging from slow and asymptomatic growth without recurrence to rapid, painful and recurrent growth. Our aim was to compare the immunoexpression of tumor necrosis factor-alpha (TNF-α) and transforming growth factor-beta (TGF-β) in CGCL and PGCL. METHODS: Twenty CGCL and 20 PGCL were selected for analysis of the immunoexpression of TNF-α and TGF-β in multinucleated giant cells (MGC) and mononucleated cells (MC). RESULTS: The PGCL showed lightly higher expression of TNF-α than CGCL. In comparison with PGCL, the CGCL showed higher expression of TGF-β in MC and MGC (P < 0.05) and in total cells (P < 0.05). Significant positive correlation was found between expressions of TGF-β and TNF-α in CGCL (P < 0.05). CONCLUSIONS: Our results suggest that, in CGCL, coordinated interactions between TGF-β and TNF-α may be important for osteoclastogenesis and bone resorption. PGCL occasionally cause bone resorption but to a lower extent, a fact that might be explained by the lower expression of TGF-β in these lesions."
25660728,10.1111/cdoe.12156,Socially unequal improvements in dental caries levels in Brazilian adolescents between 2003 and 2010.,Community dentistry and oral epidemiology,2015,Roncalli AG; Sheiham A; Tsakos G; Watt RG,"OBJECTIVES: Although there are numerous reports on socioeconomic inequalities in dental caries, few studies have focused on whether improvements in dental status have been accompanied by changes in socioeconomic inequalities in caries. The objective of this study was to assess whether declines in caries between 2003 and 2010 were associated with reductions in inequalities in dental caries in adolescents. METHODS: Data on dental caries in adolescents aged 15-19 were used from the Brazilian National Oral Health surveys conducted in 2003 (n = 16 833) and 2010 (n = 5445). The dependent variables were Decayed, Missing and Filled Teeth (DMFT) index and the percentage caries free. Household income and educational level were independent variables. Differences between surveys for DMFT and caries free were calculated, and measurement of inequality was performed using the Slope Index of Inequality (SII) and Relative Index of Inequality (RII). RESULTS: Both DMFT and percentage caries free showed significant differences in absolute (SII) and relative (RII) inequalities between the two surveys for both education and income. The SII for DMFT rose from 0.54 to 2.01 and from 1.44 to 3.67 for income and education, respectively. For caries free, these values were 3.64-19.40 and 5.06-22.93. Regarding to RII, a similar trend has been found. CONCLUSIONS: Despite the overall reduction in DMFT and an increase in caries free, there were increases in both income and education-related inequalities in caries in Brazilian adolescents. The findings on caries differ from those for other health conditions in Brazil, where there have been reductions in inequalities."
33220456,10.1016/j.tmaid.2020.101920,Saliva as a possible tool for the SARS-CoV-2 detection: A review.,Travel medicine and infectious disease,2020,Medeiros da Silva RC; Nogueira Marinho LC; de Araújo Silva DN; Costa de Lima K; Pirih FQ; Luz de Aquino Martins AR,"BACKGROUND: Salivary tests for the new coronavirus (SARS-CoV-2) diagnosis have been suggested as alternative methods for the nasopharyngeal and oropharyngeal tests. METHOD: Two reviewers independently performed a search in the following electronic databases: PubMed, Medline, Cochrane Library, Web of Science, Embase and Scopus to identify cross-sectional and cohort studies that used saliva samples for SARS-CoV-2 detection. The search strategy was: (""saliva"") and (""SARS-CoV-2"" or ""coronavirus"" or ""COVID-1""). RESULTS: A total of 363 studies were identified and 39 were selected for review. Salivary samples for SARS-CoV-2 detection was as consistent and sensitive as the nasopharyngeal swabs in most studies, having been effective in detecting asymptomatic infections previously tested negative in nasopharyngeal samples. Viral nucleic acids found in saliva obtained from the duct of the salivary gland may indicate infection in that gland. Live viruses could be detected in saliva by viral culture. CONCLUSIONS: Salivary samples show great potential in SARS-CoV-2 detection and may be recommended as a simple and non-invasive alternative."
31896104,N/A,Assessment of gingival phenotype through periodontal and crown characteristics: a cluster analysis.,Journal of the International Academy of Periodontology,2020,de Araújo LNM; Borges SB; Dos Santos MT; Lima KC; Gurgel BCV,"OBJECTIVE: To evaluate gingival phenotypes in 100 subjects (n = 100), with regard to maxillary central incisors and surrounding periodontium in an observational diagnostic study. MATERIALS AND METHODS: Individuals were grouped based on: Probing depth (PD); keratinized mucosa (KM); Ratio Height/Width Crown (CH/CW), papilla area (PA), gingival thickness (GT) and Gingival Volume (GV). ANOVA and chi-square tests were performed with a significance level of 5%. Results: PD (p=0.860) and CH/CW (p=0.086) were not statistically significant. Cluster analysis identified three groups: Cluster I (n = 32) had the lowest values: KM (4.54mm), GT (0.83mm), PA (15.64mm²) and GV (3.80mm³); Cluster II (n = 43) presented KM (8.02mm); GT (1.40mm); GV (11.18mm³) and PA (14.10mm²); Cluster III (n = 19) exhibited an average KM of 5.57mm, GT (1.14mm), PA (20.08mm²) and GV (6.48mm³). RESULTS: Cluster I was characterized as a thin phenotype; cluster II as thick, and cluster III, as an intermediate. Significant associations were found when transparency on probing was compared among clusters (p less than 0.05) and gingival exposure when smiling (p less than 0.05). CONCLUSION: Thin phenotype was found in 34.04% of the sample (cluster I), thick phenotype in 45.75% (cluster II) and intermediate phenotype in 20.21% (Cluster III).."
33237234,10.1590/0103-6440202003542,Role of Twist and Podoplanin in Partial Epithelial-Mesenchymal Transition in Oral Squamous Cell Carcinoma.,Brazilian dental journal,2020,Rolim LSA; Mafra RP; Santos HBP; Souza LB; Pinto LP,"The aim of this study was to perform a comparative analysis of podoplanin (PDPN) and Twist immunoexpressions in lower lip and oral tongue squamous cell carcinomas (LLSCC and OTSCC, respectively). PDPN and Twist immunoexpressions were semi-quantitatively evaluated by analyzing the invasion front, the compressive areas, the large islands and nests and dissociated cells of the chosen carcinomas. Their statistical associations and correlations with clinical-pathological characteristics were verified by the Mann-Whitney and Spearman's test. Twist expression was low in both carcinomas, with <25% labeling on the invasive front. Significant differences were observed for LLSCC (p=0.032) and OTSCC (p=0.025) regarding PDPN immunoexpression in relation to the worst invasion patterns determined by a histological malignancy gradation system. Statistically significant negative correlations between PDPN membrane expression and general (r=-0.356, p=0.024) and cytoplasmic Twist expressions (r=-0.336; p=0.034) in LLSCC were also observed. Twist and PDPN are suggested to be associated to a more aggressive invasion pattern in both LLSCC and OTSCC cases but not related to the different biological behaviors on these anatomical sites. Also, it was seen that PDPN membrane expression is inversely related to general and cytoplasmic Twist expression in LLSCC cases."
